"Indicação de data e hora","Você utiliza um smartphone ou tablet Android","Você possui algum animal doméstico","Você tem ou já teve intençção de adotar algum animal","Você já perdeu algum animal?","Você usaria um sistema ou aplicativo de busca/adoção de animais?"
"2016/08/12 10:06:09 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:06:28 PM GMT-3","Sim","Gato","Sim","Não","Sim"
"2016/08/12 10:07:45 PM GMT-3","","Cachorro","Sim","Não","Sim"
"2016/08/12 10:08:12 PM GMT-3","Não","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:08:28 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:08:54 PM GMT-3","Sim","Cachorro;Gato","Sim","Não","Sim"
"2016/08/12 10:09:32 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:09:42 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:09:57 PM GMT-3","Sim","Não tenho","Não","Não","Não"
"2016/08/12 10:11:07 PM GMT-3","Sim","Cachorro","Não","Não","Talvez"
"2016/08/12 10:11:22 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:11:37 PM GMT-3","Sim","Gato","Sim","Sim","Sim"
"2016/08/12 10:11:59 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:12:18 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:12:45 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:13:52 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:14:06 PM GMT-3","Sim","Não tenho","Sim","Sim","Sim"
"2016/08/12 10:14:34 PM GMT-3","Não","Cachorro","Sim","Não","Sim"
"2016/08/12 10:14:54 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:15:07 PM GMT-3","Sim","Gato","Sim","Não","Talvez"
"2016/08/12 10:15:41 PM GMT-3","Sim","Não tenho","Não","Não","Sim"
"2016/08/12 10:15:52 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:16:11 PM GMT-3","Sim","Não tenho","Não","Não","Sim"
"2016/08/12 10:16:23 PM GMT-3","Sim","Cachorro","Sim","Sim","Sim"
"2016/08/12 10:16:37 PM GMT-3","Sim","Cachorro;Gato","Sim","Não","Sim"
"2016/08/12 10:16:53 PM GMT-3","Sim","Não tenho","Sim","Não","Sim"
"2016/08/12 10:17:09 PM GMT-3","Sim","Não tenho","","Não","Sim"
"2016/08/12 10:17:24 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:17:40 PM GMT-3","Sim","Cachorro","Não","Não","Sim"
"2016/08/12 10:18:03 PM GMT-3","Sim","Não tenho","Não","Não","Sim"
"2016/08/12 10:18:17 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:18:32 PM GMT-3","Sim","Cachorro","Sim","Não","Sim"
"2016/08/12 10:18:57 PM GMT-3","Não","Não tenho","Não","Sim","Sim"
"2016/08/12 10:19:10 PM GMT-3","Sim","Cachorro","Sim","Não","Talvez"
"2016/08/12 10:19:23 PM GMT-3","Sim","Outro","Não","Sim","Sim"
"2016/08/12 10:20:15 PM GMT-3","Sim","Não tenho","Não","Sim","Talvez"
